word,part_of_speech
begränsning,subst
begynnande,adj
begynnelse,subst
begår,ver
begåvad,adj
begåvar,ver
begåvning,subst
begär 1,subst
begär 2,ver
begäran,subst
begärlig,adj
behag,subst
behagar,ver
behaglig,adj
behandlar,ver
behandling,subst
behaviorism,subst
behjälplig,adj
behjärtans-värd,adj
behov,subst
behovs-prövning,subst
behå,subst
behåll,subst
behållare,subst
behåller,ver
behållning,subst
behäftad,adj
behändig,adj
behärskad,adj
behärskar,ver
behärskning,subst
behöll,se behålle
behörig,adj
behövande,adj
behöver,ver
beige,adj
beivrar,ver
bejakar,ver
bekant 1,adj
bekant 2,subst
bekantar sig,ver
bekantskap,subst
beklagans-värd,adj
beklagar,ver
beklaglig,adj
bekläder,ver
beklädnad,subst
beklämd,adj
beklämmande,adj
bekommer,ver
bekostar,ver
bekostnad,subst
bekräftar,ver
bekräftelse,subst
bekväm,adj
bekvämlighet,subst
bekymmer,subst
bekymrad,adj
bekymrar sig,ver
bekämpar,ver
bekämpning,subst
bekämpnings-medel,subst
bekännelse,subst
bekänner,ver
belackare,subst
belamrad,adj
belastad,adj
belastar,ver
belastning,subst
beledsagar,ver
belevad,adj
belgare,subst
belgier,se belgar
belgisk,adj
belopp,subst
belyser,ver
belysning,subst
belånar,ver
belåning,subst
belåten,adj
belåtenhet,subst
belägen,adj
belägenhet,subst
belägg,subst
belägger,ver
beläggning,subst
belägrar,ver
belägrings-tillstånd,subst
beläst,adj
belönar,ver
belöning,subst
bemannar,ver
bemedlad,adj
bemyndigande,subst
bemyndigar,ver
bemäktigar sig,ver
bemärkelse,subst
bemästrar,ver
bemödande,subst
bemödar sig,ver
bemöter,ver
ben,subst
bena,subst
benar,ver
ben-brott,subst
benig,adj
bensin,subst
benådar,ver
benådning,subst
benägen,adj
benämner,ver
beordrar,ver
beprövad,adj
ber,ver
beredd,adj
bereder,ver
beredning,subst
beredskap,subst
beredskaps-arbete,subst
beredvillig,adj
berest,adj
berg,subst
berg- och dal-bana,subst
berg-fast,adj
bergig,adj
bergis,adj
berg-rum,subst
bergs-kedja,subst
bergs-predikan,subst
bergsprängare,subst
berg-säker,adj
berikar,ver
beriktigande,subst
beriktigar,ver
berlock,subst
bero,ver
beroende 1,adj
beroende 2,subst
beror på,ver
berså,subst
berusad,adj
berusning,subst
beryktad,adj
berått,adj
beräknande,adj
beräknar,ver
beräkning,subst
berättar,ver
berättare,subst
berättelse,subst
berättigad,adj
berättigande,subst
berättigar,ver
beröm,subst
berömd,adj
berömdhet,subst
berömmelse,subst
berömmer,ver
berör,ver
beröring,subst
berörings-punkt,subst
berövar,ver
besannar,ver
besatt,adj
beseglar,ver
besegrar,ver
besiktigar,ver
besiktning,subst
besiktnings-instrument,subst
besinnar,ver
besinnar sig,ver
besinning,subst
besitter,ver
besittning,subst
besittnings-skydd,subst
besjunger,ver
besjälar,ver
besk,adj
beskaffad,adj
beskaffenhet,subst
beskattar,ver
beskattning,subst
besked,subst
beskedlig,adj
beskickning,subst
beskjuter,ver
beskrev,se beskrive
beskriver,ver
beskrivning,subst
beskydd,subst
beskyddar,ver
beskyller,ver
beskyllning,subst
beskådande,subst
beskådar,ver
beskäftig,adj
beskär,ver
beslag,subst
beslag-tar,ver
beslut,subst
beslutar,ver
besluten,adj
beslutsam,adj
beslår,ver
besläktad,adj
beslöjad,ad
beslöt,se besluta
besparad,adj
besparar,ver
besparing,subst
bespisning,subst
bespottar,ver
besprutar,ver
best,subst
bestialisk,adj
bestick,subst
bestickande,adj
bestickning,subst
bestiger,ver
bestod,se bestå
bestraffar,ver
bestraffning,subst
bestrider,ver
bestryker,ver
bestrålar,ver
beströr,ver
bestseller,subst
bestulen,adj
bestyckad,adj
bestyckning,subst
bestyr 1,subst
bestyr 2,ver
bestyrker,ver
bestående,adj
bestånd,subst
bestånds-del,subst
består,ver
beställer,ver
beställning,subst
bestämd,adj
bestämmelse,subst
bestämmer,ver
bestämt,adv
beständig,adj
bestörtning,subst
besudlad,adj
besutten,adj
besvarar,ver
besvikelse,subst
besviken,adj
besvär,subst
besvärar,ver
besvärjelse,subst
besvärjer,ver
besvärlig,adj
besynnerlig,adj
besätter,ver
besättning,subst
besök,subst
besökare,subst
besöker,ver
bet,se bite
betackar sig,ver
betagen,adj
betalar,ver
betal-kort,subst
betal-kurs,subst
betalning,subst
betalnings-föreläggande,subst
betalnings-inställelse,subst
betal-TV,subst
betar,ver
bete 1,subst
bete 2,subst
betecknande,adj
betecknar,ver
beteende,subst
beter sig,ver
beting,subst
betingad,adj
betingar,ver
betingelse,subst
betjänar,ver
betjäning,subst
betjänt 1,adj
betjänt 2,subst
betonar,ver
betong,subst
betoning,subst
betraktande,subst
betraktar,ver
betraktelse,subst
betrodd,adj
betryckt,adj
betryggande,adj
beträder,ver
beträffande,prep
beträffar,ver
beträngd,adj
bets,subst
betsar,ver
betsel,subst
bett 1,se be
bett 2,subst
bettleri,subst
betungande,adj
betungar,ver
betvingar,ver
betvivlar,ver
betydande,adj
betydelse,subst
betyder,ver
betydlig,adj
betyg,subst
betygar,ver
betygelse,subst
betyg-sätter,ver
betäcker,ver
betäckning,subst
betänkande,subst
betänker,ver
betänke-tid,subst
betänklig,adj
betänklighet,subst
betänksam,adj
beundran,subst
beundrar,ver
bevakar,ver
bevandrad,adj
bevarar,ver
bevars 1,interj
bevars 2,adv
bevattnar,ver
bevekande,adj
beveker,ver
bevekelse-grund,subst
beviljar,ver
bevingad,adj
bevis,subst
bevisar,ver
bevis-börda,subst
bevis-föring,subst
bevisligen,adv
bevistar,ver
bevittnar,ver
bevuxen,adj
bevåg,subst
bevänt,adj
beväpnar,ver
bevärdigar,ver
bh,se beh
bi 1,subst
bi 2,adv
bi-,förle
bibehåller,ver
bibel,subst
bibliofil,subst
biblio-grafi,subst
bibliotek,subst
bibliotekarie,subst
bibringar,ver
bidar,ver
bidé,subst
bidrag,subst
bidrags-förskott,subst
